macroID;macroNOME
62;PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE
63;ATTIVITÀ DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMATICI
64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE)
65;ASSICURAZIONI, RIASSICURAZIONI E FONDI PENSIONE (ESCLUSE LE ASSICURAZIONI SOCIALI OBBLIGATORIE)
66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE
68;ATTIVITÀ IMMOBILIARI
69;ATTIVITÀ LEGALI E CONTABILITÀ
70;ATTIVITÀ DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE 
71;ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA
72;RICERCA SCIENTIFICA E SVILUPPO
73;PUBBLICITÀ E RICERCHE DI MERCATO
74;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE
75;SERVIZI VETERINARI
77;ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO
78;ATTIVITÀ DI RICERCA, SELEZIONE, FORNITURA DI PERSONALE 
79;ATTIVITÀ DEI SERVIZI DELLE AGENZIE DI VIAGGIO, DEI TOUR OPERATOR E SERVIZI DI PRENOTAZIONE E ATTIVITÀ CONNESSE
80;SERVIZI DI VIGILANZA E INVESTIGAZIONE
81;ATTIVITÀ DI SERVIZI PER EDIFICI E PAESAGGIO
82;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE
84;AMMINISTRAZIONE PUBBLICA E DIFESA
85;ISTRUZIONE
86;ASSISTENZA SANITARIA
87;SERVIZI DI ASSISTENZA SOCIALE RESIDENZIALE
88;ASSISTENZA SOCIALE NON RESIDENZIALE
90;ATTIVITÀ CREATIVE, ARTISTICHE E DI INTRATTENIMENTO
91;ATTIVITÀ DI BIBLIOTECHE, ARCHIVI, MUSEI ED ALTRE ATTIVITÀ CULTURALI
92;ATTIVITÀ RIGUARDANTI LE LOTTERIE, LE SCOMMESSE, LE CASE DA GIOCO
93;ATTIVITÀ SPORTIVE, DI INTRATTENIMENTO E DI DIVERTIMENTO
94;ATTIVITÀ DI ORGANIZZAZIONI ASSOCIATIVE
95;RIPARAZIONE DI COMPUTER E DI BENI PER USO PERSONALE E PER LA CASA
96;ALTRE ATTIVITÀ DI SERVIZI PER LA PERSONA
97;ATTIVITÀ DI FAMIGLIE E CONVIVENZE COME DATORI DI LAVORO PER PERSONALE DOMESTICO
98;PRODUZIONE DI BENI E SERVIZI INDIFFERENZIATI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE 
99;ORGANIZZAZIONI ED ORGANISMI EXTRATERRITORIALI
